Name,Points,Tags,Status,Pomos (25 mins),Do Date,Related To,Relates,Source,Created Time,Last edited time,Problem Statement,Day Completed,Pattern
Freedom Trail - LeetCode,2000,de shaw,waiting,,,,,https://leetcode.com/problems/freedom-trail/,"Dec 20, 2020 1:20 PM","May 20, 2021 9:55 AM",,,../Dp%2071e29475df134130a63445f5437e90ee.md
Convert multidimensional array to 1d,,de shaw,waiting,,,,,,"Dec 20, 2020 1:55 PM","May 20, 2021 9:56 AM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Best Time to Buy and Sell Stock - LeetCode,800,de shaw,done,,,,https://www.notion.so/Best-Time-to-Buy-and-Sell-Stock-III-LeetCode-230716c92c4842daad44aae398d9bc9f,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,"Dec 20, 2020 2:13 PM","Feb 22, 2021 9:22 PM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Best Time to Buy and Sell Stock II - LeetCode,1200,de shaw,done,,,,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/,"Dec 20, 2020 2:17 PM","Feb 22, 2021 9:22 PM",,,../Array%20af1fbf6be3da4abfadba9d43c8017242.md
Best Time to Buy and Sell Stock III - LeetCode,2000,"prefix max, suffix sum",done,1,"Dec 20, 2020",https://www.notion.so/Best-Time-to-Buy-and-Sell-Stock-LeetCode-0856c7a6811a4dc0b861d1aed9bbc105,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/,"Dec 20, 2020 2:19 PM","Mar 01, 2021 8:48 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Cumulative%2073b8950eb0ab42228e72265c36aec690.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Best Time to Buy and Sell Stock IV - LeetCode,2000,"amazon, de shaw, hard",waiting,,"Dec 22, 2020",,,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/,"Dec 20, 2020 2:28 PM","Mar 01, 2021 8:48 AM",,,"../Array%20af1fbf6be3da4abfadba9d43c8017242.md, ../Dp%2071e29475df134130a63445f5437e90ee.md"
Smallest Subarray with a given sum,1500,,done,,,,,,"Dec 20, 2020 6:34 PM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Longest Substring with Same Letters after Replacement,1600,,ok,1,"Feb 10, 2021",,https://www.notion.so/Longest-Subarray-with-Ones-after-Replacement-hard-40338106ed58470a9cda65b842731927,https://www.educative.io/courses/grokking-the-coding-interview/R8DVgjq78yR,"Dec 20, 2020 7:18 PM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Permutation in a String,1500,,ok,,,,,https://www.educative.io/courses/grokking-the-coding-interview/N8vB7OVYo2D,"Dec 20, 2020 7:36 PM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
Smallest Window Containing Substring,1500,standard,ok,1,"Dec 21, 2020",,,educative.io,"Dec 21, 2020 8:58 AM","May 11, 2021 9:00 AM",,,"../Greedy%20ea1f204b1d0b40e89fdb87f6dc8055d3.md, ../Sliding%20Window%2057edd445fc8d49ac98bcd1076bcdd3aa.md"
